2026-01-02 at 16:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 17:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 17:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 18:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 18:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 19:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 19:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 20:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 20:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 21:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 21:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 22:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 22:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 23:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-02 at 23:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-03 at 00:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-03 at 00:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-03 at 01:24:50 | INFO | Нет бронирований для обновления статуса.
2026-01-03 at 01:54:50 | INFO | Нет бронирований для обновления статуса.
2026-01-04 at 10:20:59 | INFO | Бот запущен...
2026-01-04 at 10:20:59 | INFO | Бот успешно запущен.
2026-01-04 at 10:21:30 | INFO | Бот запущен...
2026-01-04 at 10:21:34 | INFO | Бот успешно запущен.
2026-01-04 at 10:21:34 | SUCCESS | Вебхук установлен: https://gh01c6ls-8000.euw.devtunnels.ms/webhook
2026-01-04 at 10:22:16 | INFO | Бот остановлен...
2026-01-04 at 10:22:18 | ERROR | Бот остановлен!
2026-01-04 at 10:23:21 | INFO | Бот запущен...
